iter	Passed	Remaining
0	0	61
1	1	54
2	1	52
3	2	49
4	2	48
5	3	47
6	3	46
7	4	46
8	4	45
9	5	46
10	5	46
11	6	45
12	6	44
13	7	44
14	7	42
15	8	43
16	8	42
17	9	42
18	9	40
19	10	41
20	10	39
21	11	40
22	11	39
23	12	39
24	13	39
25	13	38
26	14	38
27	14	37
28	15	37
29	15	36
30	16	35
31	16	35
32	17	34
33	17	34
34	18	33
35	18	33
36	19	32
37	19	32
38	20	31
39	20	31
40	21	30
41	21	29
42	22	29
43	22	28
44	23	28
45	23	27
46	24	27
47	24	26
48	25	26
49	25	25
50	26	25
51	27	24
52	27	24
53	28	23
54	28	23
55	29	22
56	29	22
57	30	21
58	30	21
59	31	20
60	31	20
61	32	19
62	32	19
63	33	18
64	33	18
65	33	17
66	34	16
67	34	16
68	36	16
69	36	15
70	37	15
71	38	14
72	38	14
73	38	13
74	39	13
75	39	12
76	39	11
77	39	11
78	40	10
79	40	10
80	40	9
81	43	9
82	44	9
83	45	8
84	45	8
85	46	7
86	46	6
87	47	6
88	47	5
89	48	5
90	48	4
91	48	4
92	49	3
93	49	3
94	49	2
95	50	2
96	50	1
97	50	1
98	51	0
99	51	0
