iter	Passed	Remaining
0	54	54307
1	54	27282
2	55	18575
3	56	13996
4	56	11280
5	57	9488
6	57	8204
7	58	7240
8	58	6489
9	59	5862
10	60	5395
11	60	5005
12	61	4662
13	61	4364
14	62	4104
15	63	3877
16	63	3688
17	64	3496
18	64	3323
19	64	3168
20	65	3041
21	66	2937
22	66	2831
23	67	2732
24	67	2641
25	68	2557
26	68	2477
27	69	2407
28	69	2340
29	70	2277
30	70	2219
31	71	2164
32	72	2111
33	76	2162
34	79	2179
35	79	2125
36	79	2073
37	79	2024
38	81	1997
39	81	1952
40	81	1908
41	81	1867
42	82	1828
43	82	1791
44	82	1755
45	82	1721
46	83	1692
47	83	1662
48	84	1632
49	84	1603
50	84	1575
51	84	1548
52	85	1522
53	85	1497
54	85	1473
55	86	1450
56	86	1428
57	86	1406
58	86	1385
59	87	1365
60	87	1345
61	87	1326
62	87	1308
63	88	1290
64	88	1273
65	88	1256
66	89	1240
67	89	1225
68	89	1210
69	89	1195
70	90	1181
71	91	1177
72	91	1163
73	91	1150
74	92	1137
75	92	1124
76	99	1197
77	100	1184
78	100	1171
79	100	1158
80	101	1146
81	101	1133
82	101	1120
83	101	1108
84	101	1097
85	102	1086
86	102	1076
87	102	1066
88	103	1056
89	106	1080
90	107	1071
91	107	1061
92	107	1051
93	108	1044
94	108	1035
95	109	1026
96	109	1022
97	110	1013
98	110	1005
99	110	997
100	111	988
101	111	980
102	111	972
103	111	964
104	112	956
105	112	948
106	112	941
107	113	933
108	113	926
109	113	919
110	114	914
111	114	907
112	114	900
113	115	894
114	115	887
115	115	881
116	115	874
117	116	867
118	116	861
119	116	855
120	116	849
121	117	842
122	117	836
123	117	831
124	117	825
125	118	819
126	118	813
127	118	809
128	119	804
129	119	800
130	119	795
131	120	790
132	120	786
133	120	781
134	121	776
135	121	771
136	121	767
137	122	762
138	122	757
139	122	753
140	122	748
141	123	744
142	123	740
143	123	735
144	124	731
145	124	728
146	124	723
147	125	719
148	125	715
149	126	715
150	126	711
151	126	707
152	127	703
153	127	699
154	127	695
155	128	692
156	129	693
157	129	689
158	129	686
159	130	683
160	130	680
161	130	677
162	131	674
163	131	671
164	132	668
165	132	664
166	132	661
167	132	658
168	133	654
169	135	663
170	136	659
171	136	656
172	136	653
173	137	651
174	137	648
175	137	645
176	139	648
177	140	647
178	140	644
179	140	642
180	141	639
181	141	636
182	141	633
183	142	630
184	142	627
185	142	625
186	143	623
187	143	620
188	144	618
189	144	615
190	144	612
191	149	628
192	149	625
193	149	623
194	150	620
195	150	617
196	150	614
197	151	611
198	151	609
199	151	606
200	152	606
201	152	603
202	153	601
203	153	598
204	153	596
205	155	597
206	155	595
207	155	592
208	155	589
209	156	587
210	156	585
211	156	582
212	157	580
213	157	577
214	157	575
215	157	572
216	158	570
217	158	568
218	158	565
219	158	563
220	159	563
221	160	560
222	160	558
223	160	556
224	161	554
225	161	552
226	161	550
227	162	548
228	162	546
229	162	545
230	163	544
231	164	543
232	164	541
233	165	540
234	165	539
235	166	537
236	166	535
237	166	533
238	167	531
239	169	536
240	171	540
241	172	539
242	172	536
243	172	534
244	172	532
245	173	531
246	180	549
247	180	547
248	180	545
249	182	546
250	182	544
251	182	542
252	183	540
253	183	538
254	183	536
255	183	534
256	188	543
257	188	543
258	189	542
259	189	540
260	191	541
261	191	539
262	192	538
263	192	536
264	192	534
265	193	532
266	196	538
267	196	537
268	197	536
269	197	534
270	198	532
271	198	531
272	200	533
273	200	531
274	201	530
275	201	528
276	203	530
277	203	528
278	204	527
279	204	525
280	207	530
281	207	528
282	208	527
283	208	525
284	208	523
285	209	522
286	209	520
287	209	518
288	210	516
289	210	515
290	210	513
291	219	532
292	219	530
293	220	528
294	220	526
295	222	530
296	223	528
297	223	527
298	224	525
299	224	524
300	225	522
301	225	521
302	225	519
303	232	532
304	232	530
305	234	531
306	234	530
307	235	528
308	236	529
309	237	527
310	237	526
311	239	527
312	239	526
313	240	524
314	240	523
315	241	521
316	241	520
317	246	527
318	246	526
319	246	524
320	247	523
321	247	521
322	248	520
323	248	518
324	248	517
325	250	517
326	250	516
327	251	514
328	251	512
329	251	510
330	251	509
331	252	507
332	252	505
333	252	503
334	254	504
335	254	502
336	254	501
337	254	499
338	255	497
339	255	496
340	255	494
341	257	494
342	257	493
343	257	491
344	258	490
345	258	488
346	258	486
347	259	485
348	259	484
349	261	486
350	262	484
351	262	483
352	262	481
353	263	480
354	263	478
355	263	476
356	263	475
357	264	473
358	264	472
359	264	470
360	264	468
361	265	467
362	265	465
363	265	464
364	266	462
365	266	461
366	266	459
367	266	458
368	267	456
369	267	455
370	267	453
371	268	452
372	271	455
373	271	454
374	274	457
375	274	455
376	275	454
377	275	453
378	275	452
379	276	450
380	276	449
381	277	448
382	277	446
383	278	447
384	279	445
385	279	444
386	279	443
387	280	441
388	280	440
389	280	438
390	280	437
391	281	436
392	281	434
393	281	433
394	282	432
395	282	430
396	282	429
397	282	427
398	283	426
399	283	425
400	283	424
401	284	422
402	285	422
403	285	421
404	285	420
405	286	418
406	286	417
407	286	416
408	287	414
409	287	413
410	287	412
411	287	410
412	288	409
413	288	408
414	288	407
415	289	405
416	289	404
417	289	403
418	289	402
419	290	400
420	290	399
421	290	398
422	291	397
423	291	395
424	291	394
425	291	393
426	292	392
427	292	390
428	292	389
429	293	388
430	293	387
431	293	386
432	293	384
433	294	383
434	294	382
435	294	381
436	294	379
437	295	378
438	295	377
439	295	376
440	295	375
441	296	373
442	296	372
443	296	371
444	297	370
445	297	369
446	297	368
447	298	367
448	298	366
449	298	365
450	298	363
451	299	362
452	299	361
453	299	360
454	300	359
455	300	358
456	300	357
457	300	356
458	301	355
459	301	354
460	301	352
461	302	351
462	302	350
463	302	349
464	302	348
465	303	347
466	304	347
467	304	346
468	304	345
469	305	344
470	305	343
471	306	342
472	306	341
473	306	340
474	306	339
475	307	338
476	307	337
477	307	336
478	308	335
479	308	333
480	308	332
481	308	331
482	309	331
483	309	329
484	309	328
485	310	327
486	310	326
487	310	325
488	310	324
489	311	323
490	311	322
491	311	321
492	311	320
493	312	319
494	312	318
495	312	317
496	313	316
497	313	315
498	313	314
499	313	313
500	314	312
501	314	311
502	314	310
503	314	309
504	315	308
505	315	307
506	315	307
507	315	306
508	316	305
509	316	304
510	316	303
511	317	302
512	317	301
513	317	300
514	318	299
515	318	298
516	318	297
517	318	296
518	319	295
519	319	294
520	319	293
521	319	292
522	320	291
523	320	291
524	320	290
525	321	289
526	322	289
527	322	288
528	322	287
529	322	286
530	323	285
531	323	284
532	323	283
533	323	282
534	324	281
535	324	280
536	324	280
537	325	279
538	325	278
539	325	277
540	325	276
541	326	275
542	326	274
543	326	273
544	326	272
545	327	272
546	327	271
547	327	270
548	328	269
549	328	268
550	332	271
551	333	270
552	333	269
553	333	268
554	334	267
555	334	267
556	334	266
557	337	267
558	338	266
559	338	266
560	339	265
561	339	264
562	339	263
563	339	262
564	343	264
565	343	263
566	343	262
567	344	261
568	344	260
569	344	260
570	345	259
571	349	261
572	350	260
573	350	260
574	350	259
575	351	258
576	351	257
577	351	256
578	351	255
579	353	255
580	354	255
581	354	254
582	354	253
583	355	252
584	355	252
585	355	251
586	355	250
587	359	252
588	360	251
589	360	250
590	360	249
591	363	250
592	364	249
593	364	249
594	366	249
595	367	248
596	368	248
597	368	247
598	369	247
599	369	246
600	370	246
601	371	245
602	371	244
603	372	244
604	372	243
605	374	243
606	374	242
607	374	241
608	375	241
609	376	240
610	376	239
611	376	238
612	378	238
613	378	238
614	379	237
615	380	237
616	381	236
617	382	236
618	382	235
619	383	235
620	384	234
621	384	233
622	385	233
623	386	232
624	387	232
625	388	231
626	389	231
627	389	230
628	390	230
629	390	229
630	390	228
631	391	227
632	391	226
633	391	226
634	392	225
635	392	224
636	392	223
637	392	222
638	395	223
639	397	223
640	397	222
641	397	221
642	398	221
643	398	220
644	399	220
645	401	219
646	401	219
647	401	218
648	402	217
649	403	217
650	403	216
651	404	216
652	405	215
653	406	215
654	407	214
655	407	213
656	410	214
657	411	213
658	411	213
659	411	212
660	413	212
661	413	211
662	414	210
663	415	210
664	415	209
665	416	208
666	416	207
667	416	207
668	417	206
669	417	205
670	417	204
671	418	204
672	418	203
673	420	203
674	421	202
675	421	202
676	423	202
677	424	201
678	427	201
679	427	201
680	427	200
681	429	200
682	430	199
683	434	200
684	435	200
685	436	199
686	436	198
687	436	198
688	437	197
689	438	196
690	438	196
691	439	195
692	440	194
693	440	194
694	441	193
695	442	193
696	442	192
697	443	191
698	443	190
699	445	190
700	445	190
701	445	189
702	446	188
703	446	187
704	446	186
705	446	186
706	447	185
707	447	184
708	447	183
709	448	182
710	448	182
711	448	181
712	448	180
713	449	179
714	449	179
715	451	179
716	452	178
717	453	177
718	453	177
719	454	176
720	455	176
721	456	175
722	458	175
723	458	174
724	458	174
725	460	173
726	460	172
727	460	172
728	461	171
729	461	170
730	462	170
731	463	169
732	463	168
733	464	168
734	464	167
735	465	166
736	465	166
737	466	165
738	466	164
739	467	164
740	467	163
741	468	162
742	468	162
743	469	161
744	469	160
745	470	160
746	470	159
747	471	158
748	472	158
749	472	157
750	473	156
751	473	156
752	474	155
753	474	154
754	475	154
755	475	153
756	476	152
757	476	152
758	477	151
759	479	151
760	480	150
761	480	150
762	480	149
763	480	148
764	481	147
765	481	147
766	481	146
767	482	145
768	482	144
769	482	144
770	482	143
771	483	142
772	483	141
773	483	141
774	483	140
775	484	139
776	484	139
777	484	138
778	485	137
779	485	136
780	485	136
781	485	135
782	486	134
783	486	134
784	486	133
785	486	132
786	488	132
787	488	131
788	489	130
789	489	130
790	489	129
791	489	128
792	492	128
793	493	128
794	493	127
795	494	126
796	495	126
797	495	125
798	496	124
799	496	124
800	496	123
801	497	122
802	497	122
803	497	121
804	498	120
805	498	119
806	498	119
807	499	118
808	499	117
809	499	117
810	499	116
811	500	115
812	500	115
813	501	114
814	501	113
815	501	113
816	502	112
817	502	111
818	502	111
819	503	110
820	503	109
821	503	109
822	504	108
823	504	107
824	504	107
825	504	106
826	505	105
827	505	104
828	505	104
829	505	103
830	506	102
831	506	102
832	506	101
833	508	101
834	508	100
835	508	99
836	509	99
837	509	98
838	509	97
839	512	97
840	513	97
841	513	96
842	514	95
843	515	95
844	515	94
845	516	94
846	517	93
847	517	92
848	517	92
849	519	91
850	520	91
851	520	90
852	521	89
853	521	89
854	521	88
855	522	87
856	523	87
857	524	86
858	524	86
859	526	85
860	527	85
861	527	84
862	528	83
863	529	83
864	529	82
865	529	81
